# FUNCTIONAL_TESTS.md — Fase 2: Pruebas Funcionales por Escenario de Usuario

**Proyecto:** Medibill (Medicapp)  
**Fecha:** 2026-03-10  
**Metodología:** Análisis estático del código fuente (server actions, componentes, middleware, tipos, tests existentes)  
**Nota:** Las pruebas se basan en lectura exhaustiva del código. Cuando no fue posible ejecutar en runtime, se documenta el hallazgo con archivo y línea exactos.

---

## 2.0 — Roles Identificados (Fase 0)

| Rol | Permisos Clave | Definición |
|-----|---------------|------------|
| **owner** | Todo incluido billing | `lib/permisos.ts` — PERMISOS_ROL |
| **admin** | Todo excepto billing | `lib/permisos.ts` |
| **doctor** | Clasificar IA, crear/aprobar facturas, responder glosas | `lib/permisos.ts` |
| **facturador** | Ver/crear facturas, enviar DIAN, importar sábana, responder glosas | `lib/permisos.ts` |
| **auditor** | Solo lectura + responder glosas | `lib/permisos.ts` |
| **platform_admin** | Panel admin global (métricas, orgs, suscripciones) | `middleware.ts:109-121`, `lib/platform-admin.ts` |
| **usuario no autenticado** | Solo login/registro, página de invitación | `middleware.ts:54-57` |

---

## 2.1 — Matriz de Escenarios

### MÓDULO 1: Autenticación y Onboarding

| # | Rol | Escenario | Precondiciones | Pasos | Resultado Esperado | Resultado Real (Código) | PASS/FAIL |
|---|-----|-----------|----------------|-------|--------------------|-----------------------|-----------|
| 1.1 | Anónimo | Registro de cuenta | Sin cuenta existente | 1. Ir a /login 2. Completar email+password+consentimiento 3. Submit | Redirige a /login?mensaje=registro_ok, envía email de confirmación | `login/actions.ts:38-66` — Usa `signUp()`, requiere consentimiento, rate-limit 3/hora/IP. Redirige correctamente. | **PASS** |
| 1.2 | Anónimo | Registro sin consentimiento | Sin cuenta | 1. Llenar form sin checkbox consentimiento 2. Submit | Error: consentimiento requerido | `login/actions.ts:51-53` — `if (!consentimiento) redirect("/login?mensaje=consentimiento_requerido")` | **PASS** |
| 1.3 | Anónimo | Login exitoso | Cuenta con email confirmado | 1. Email+password correctos 2. Submit | Redirige a / (→ dashboard vía middleware) | `login/actions.ts:18-34` — rate-limit 5/15min por IP | **PASS** |
| 1.4 | Anónimo | Login fallido | Cuenta existente, password mal | 1. Email correcto, password incorrecto 2. Submit | Redirige /login?mensaje=error_credenciales | `login/actions.ts:31-32` — mismo mensaje para email inexistente y password mal (correcto: no leak info) | **PASS** |
| 1.5 | Anónimo | Brute force login | 6+ intentos en 15 min | 1. Intentar login 6 veces | Redirige a /login?mensaje=demasiados_intentos | `login/actions.ts:8,23-25` — `loginLimiter` max:5, windowMs:15min | **PASS** |
| 1.6 | Autenticado | Email no confirmado | Cuenta nueva, email no verificado | 1. Login exitoso pero email no confirmado 2. Navegar a cualquier ruta | Cierra sesión, redirige a /login?mensaje=email_no_confirmado | `middleware.ts:62-70` — `emailConfirmed = user.email_confirmed_at != null`, si false → signOut + redirect | **PASS** |
| 1.7 | Autenticado | Onboarding incompleto | Login exitoso, perfil sin onboarding_completo | 1. Intentar ir a /dashboard | Redirige a /onboarding | `middleware.ts:77-96` — Verifica `perfiles.onboarding_completo`, cachea en cookie | **PASS** |
| 1.8 | Autenticado | Onboarding paso a paso | Email confirmado, sin perfil | 1. Paso 1: datos prestador 2. Paso 2: ubicación 3. Paso 3: resolución DIAN 4. Paso 4: credenciales MUV (opcional) | Perfil guardado, org creada, onboarding_completo=true, redirige a /dashboard | `onboarding/page.tsx` — 4 pasos, `guardarPerfil()` con `onboarding_completo` crea org automáticamente via `perfil.ts:59-70` | **PASS** |
| 1.9 | Autenticado | Logout | Sesión activa | 1. Click cerrar sesión | Cierra sesión Supabase, limpia cookie onboarding, redirige a landing | `login/actions.ts:68-74` — `signOut()` + clear cookie + redirect | **PASS** |
| 1.10 | Autenticado | Login redirige a dashboard | Sesión activa | 1. Navegar a /login | Redirige a /dashboard | `middleware.ts:73-77` — `if (user && isLoginPage) redirect(/dashboard)` | **PASS** |

### MÓDULO 2: Clasificación IA (Nota Clínica → RIPS)

| # | Rol | Escenario | Precondiciones | Pasos | Resultado Esperado | Resultado Real (Código) | PASS/FAIL |
|---|-----|-----------|----------------|-------|--------------------|-----------------------|-----------|
| 2.1 | doctor | Clasificar nota clínica | Onboarding completo, plan activo | 1. Escribir nota clínica 2. Click "Ejecutar Análisis RIPS" | Devuelve diagnósticos CIE-10, procedimientos CUPS, atención | `clasificacion.ts` — Pipeline: anonimizar → RAG → Gemini → validar → enriquecer tarifas | **PASS** |
| 2.2 | doctor | Clasificar nota vacía | — | 1. Dejar nota vacía 2. Click análisis | Botón deshabilitado | `ClinicalNoteInput.tsx:32` — `disabled={cargando \|\| !nota.trim()}` | **PASS** |
| 2.3 | doctor | Límite de clasificaciones alcanzado | Plan con max_clasificaciones agotado | 1. Ejecutar análisis | Error: "Has alcanzado el límite de clasificaciones IA de tu plan" | `clasificacion.ts` usa `verificarLimite(ctx.orgId, "clasificacion")` — verificado en tests | **PASS** |
| 2.4 | facturador | Intentar clasificar IA | Rol facturador | 1. Intentar clasificar | Debería estar bloqueado por RBAC | `permisos.ts:8` — `clasificar_ia: ["owner", "admin", "doctor"]` — **PERO:** no se verifica `verificarPermisoOError` en `clasificarTextoMedico()` | **⚠️ FAIL** |
